Sand;Silt;Clay;Li670;Mg518;Si288;Fe330;CN383;Na819;Textural_group;Group
10.2;80;9.8;1664.75;1578.875;5283.125;74;1346.25;623.625;Silty;Loamy
8.9;70;21.1;2133;2358.125;6180.125;64.75;1820.125;797.25;Silty;Loamy
6.5;67.7;25.8;1959.625;2170;5907.75;65.625;1629.375;655.625;Silty;Loamy
19.2;65.7;15.1;2009.5;2324.875;6479;77.25;1890.5;698.125;Silty;Loamy
5;63.9;31.1;1729.5;1878.875;5765;83.75;1394.875;764.375;Silty;Loamy
15.1;63.8;21.1;1982.125;1817.875;5518.5;123.875;1569.875;625.5;Silty;Loamy
15.1;63.8;21.1;1849.625;1977.875;5611;107.25;1562.75;589.625;Silty;Loamy
9.1;63.8;27.1;2021.75;2196.125;6178;91.5;1839.625;713.625;Silty;Loamy
15.3;63.7;21;1673;1790.875;5425;59.375;1394.875;568.75;Silty;Loamy
17.3;61.7;21;2207.625;2355.625;6665.25;104.875;1872;899;Silty;Loamy
23.1;59.8;17.1;2013.75;2323.25;6056.375;67.875;1900.625;688.375;Silty;Loamy
25.2;59.7;15.1;1904.625;1879.625;5283;67.5;1665;582.625;Silty;Loamy
24;58.6;17.4;2358.5;3201.625;9533.25;217.625;2593.125;1624.875;Silty;Loamy
14.9;58;27.1;1897.75;1976.75;5528.75;93.25;1636;753.375;Silty;Loamy
17;57.9;25.1;1976.625;2290.25;6092.125;100.625;1910.375;706.875;Silty;Loamy
16.2;56;27.8;2054;2256.25;6166.5;67.5;1866.625;683.125;Silty;Loamy
17;55.9;27.1;2142.75;3813.5;8121.875;211.125;3057.5;1472.25;Silty;Loamy
21;55.9;23.1;1512.375;1715.25;5091.125;65.75;1458.5;361.25;Silty;Loamy
21.1;55.8;23.1;1188.75;1336.5;4549;49.25;1282.25;449.625;Silty;Loamy
17.1;53.8;29.1;1934;2159.375;6838.875;90.25;1605.75;791.375;Silty;Loamy
10.7;53.7;35.6;1930.875;2235.875;5857.875;98.375;1639;566.375;Silty;Loamy
19.4;53.7;26.9;2120.25;2537.75;5966.5;115;1820.875;827;Silty;Loamy
17;51.9;31.1;1784.125;2005.25;5588.25;110.625;1665.875;599;Silty;Loamy
19.2;51.8;29;1589.125;1762.75;5186.75;60.875;1473.375;365.125;Silty;Loamy
10.6;51.7;37.7;1771.875;2166.375;5442.5;80.125;1885.625;700.5;Silty;Loamy
27.3;49.7;23;1622.625;2113.125;5171.625;71.125;1526.25;606;Loamy;Loamy
21.3;49.7;29;1298.25;1522;5133;10.875;1204.875;276.5;Loamy;Loamy
16.9;48;35.1;1747.5;1990.625;5492.75;60.375;1689.5;758.875;Loamy;Loamy
