actual,predicted,residuals,soil_fraction,method
35.1,30.32063935,0.812777735,clay,PLSR
35.1,28.9310936,1.049083786,clay,PLSR
33.1,34.92946454,-0.311118611,clay,PLSR
39.1,31.28984082,1.328195119,clay,PLSR
42.9,40.51134781,0.406214023,clay,PLSR
37.1,36.63147941,0.079676579,clay,PLSR
15.1,27.83416519,-2.165571234,clay,PLSR
5.1,9.55848986,-0.758210471,clay,PLSR
15.1,25.87334828,-1.832114848,clay,PLSR
3.1,6.994700439,-0.662332482,clay,PLSR
3.1,8.761817305,-0.962848251,clay,PLSR
36.3,34.2017991,0.356819896,clay,PLSR
22.4,31.31230581,-1.515626098,clay,PLSR
19.5,24.02522214,-0.769558958,clay,PLSR
9.5,20.29499856,-1.835796693,clay,PLSR
27.3,29.95204511,-0.451006604,clay,PLSR
18.8,17.09207916,0.290448898,clay,PLSR
25.8,29.31363138,-0.597527904,clay,PLSR
37.7,35.24677904,0.417194583,clay,PLSR
45.7,33.31635651,2.105961537,clay,PLSR
27.1,26.48750933,0.10416012,clay,PLSR
21.1,28.16492329,-1.201460355,clay,PLSR
13.1,18.84719248,-0.977367147,clay,PLSR
7.1,8.334837283,-0.209996341,clay,PLSR
9.1,7.744954778,0.230438895,clay,PLSR
9.1,14.25462485,-0.876595138,clay,PLSR
45,43.52784054,0.250355334,clay,PLSR
31,27.3513316,0.62049229,clay,PLSR
21.1,31.89903305,-1.836482798,clay,PLSR
11,7.400946685,0.612054753,clay,PLSR
25,26.17646529,-0.200069604,clay,PLSR
31.1,28.93779757,0.367703993,clay,PLSR
48,43.80844448,0.466459209,silt,PLSR
46,43.88942109,0.234876757,silt,PLSR
45.9,43.70825895,0.243908924,silt,PLSR
37.9,42.47208588,-0.508806706,silt,PLSR
31.8,36.67666691,-0.542702149,silt,PLSR
37.9,44.79499661,-0.767312909,silt,PLSR
65.7,50.74884671,1.663846058,silt,PLSR
4,15.20012218,-1.246410814,silt,PLSR
59.7,48.9607004,1.195127959,silt,PLSR
8,11.47431078,-0.386640294,silt,PLSR
5.9,21.14808205,-1.696889913,silt,PLSR
37.8,39.5709827,-0.197084635,silt,PLSR
43.9,66.36530903,-2.500062379,silt,PLSR
29,38.80330408,-1.090965261,silt,PLSR
31,31.20681016,-0.023014965,silt,PLSR
28,35.71021253,-0.858034593,silt,PLSR
39,38.94645082,0.005959245,silt,PLSR
44,39.81326993,0.465922206,silt,PLSR
51.7,50.75347672,0.105334284,silt,PLSR
31.9,43.21794307,-1.259522566,silt,PLSR
58,53.74001742,0.474074145,silt,PLSR
63.8,53.26025999,1.172919877,silt,PLSR
9.9,28.76907452,-2.099853746,silt,PLSR
13.9,12.73188533,0.129994185,silt,PLSR
13.9,14.20809267,-0.034286237,silt,PLSR
12,21.08192788,-1.010686574,silt,PLSR
39.9,44.29480372,-0.489077779,silt,PLSR
21.9,32.24668381,-1.151435527,silt,PLSR
63.8,50.36110717,1.495553449,silt,PLSR
10,21.32933801,-1.260790658,silt,PLSR
45.9,46.51864287,-0.06884596,silt,PLSR
51.9,44.64247561,0.807656982,silt,PLSR
16.9,24.49841176,-0.731648525,sand,PLSR
18.9,25.74083767,-0.658701969,sand,PLSR
21,20.11885098,0.084845544,sand,PLSR
23,24.84512336,-0.17766631,sand,PLSR
25.3,21.16092296,0.398550343,sand,PLSR
25,19.71714178,0.50868465,sand,PLSR
19.2,23.99505688,-0.461714421,sand,PLSR
90.9,72.0793298,1.812236033,sand,PLSR
25.2,25.92386297,-0.069700523,sand,PLSR
88.9,79.1817119,0.935770708,sand,PLSR
91,69.70346719,2.050636014,sand,PLSR
25.9,25.03869396,0.082934871,sand,PLSR
33.7,3.426328751,2.915041669,sand,PLSR
51.5,32.77208446,1.803304718,sand,PLSR
59.5,46.64456407,1.237845622,sand,PLSR
44.7,33.24896665,1.102616168,sand,PLSR
42.2,46.16203834,-0.381503346,sand,PLSR
30.2,29.65725033,0.052261184,sand,PLSR
10.6,15.47097575,-0.469024624,sand,PLSR
22.4,23.9396269,-0.148250159,sand,PLSR
14.9,22.18315491,-0.701292548,sand,PLSR
15.1,19.89999677,-0.462190082,sand,PLSR
77,51.34198879,2.47060131,sand,PLSR
79,79.83012833,-0.079932779,sand,PLSR
77,79.06212849,-0.198561662,sand,PLSR
78.9,61.87803908,1.639038918,sand,PLSR
15.1,11.83025121,0.314843016,sand,PLSR
47.1,36.35520953,1.034612277,sand,PLSR
15.1,18.805804,-0.356830627,sand,PLSR
79,73.2147428,0.557060479,sand,PLSR
29.1,26.95630034,0.206416123,sand,PLSR
17,25.17816554,-0.787472821,sand,PLSR
