reference.clay,predicted.clay,standardized.residuals.clay,reference.silt,predicted.silt,standardized.residuals.silt,reference.sand,predicted.sand,standardized.residuals.sand
35.1,32.47496249,0.394360995,48,41.99929971,0.608684757,16.9,24.50037534,-0.6984969
35.1,28.72768529,0.957316747,46,42.61524441,0.343334783,18.9,27.86175971,-0.823612137
33.1,37.35806315,-0.639691439,45.9,43.62945775,0.230313862,21,20.36053589,0.058768637
39.1,30.71381756,1.259861331,37.9,41.92008872,-0.407780193,23,27.8576112,-0.44642879
42.9,39.23317187,0.550869838,31.8,36.80448737,-0.507633281,25.3,23.2950353,0.184262166
37.1,37.23651891,-0.020509319,37.9,45.2238643,-0.742900719,25,18.22394521,0.622739412
15.1,27.56154066,-1.872104895,65.7,48.91864601,1.702227052,19.2,22.70929916,-0.322514939
5.1,9.806762599,-0.707099832,4,15.49177957,-1.16567579,90.9,75.42527653,1.422172707
15.1,23.75121941,-1.299677997,59.7,47.07597337,1.280525972,25.2,26.72232856,-0.139906482
3.1,6.292059435,-0.479545046,8,12.38545275,-0.44484112,88.9,79.77862915,0.838280872
3.1,9.119001729,-0.904238321,5.9,20.88944807,-1.520463963,91,69.38093832,1.986855503
36.3,32.81328533,0.523811283,37.8,40.32290293,-0.255912223,25.9,28.01985076,-0.194820534
22.4,39.59906947,-2.583826753,43.9,69.7059656,-2.617644129,33.7,-2.479000187,3.324956775
19.5,27.48927428,-1.200233574,29,41.70421172,-1.288659596,51.5,31.8814598,1.803001681
9.5,22.45776198,-1.946652528,31,32.56883823,-0.15913608,59.5,46.55994607,1.189229104
27.3,25.17788535,0.318806585,28,37.63336857,-0.977166717,44.7,38.39848764,0.579127564
18.8,22.29957946,-0.525743968,39,38.13738445,0.087499944,42.2,37.56641509,0.425840114
25.8,31.90617016,-0.917333687,44,39.77500013,0.428565482,30.2,28.20195664,0.183626075
37.7,36.07245899,0.244506484,51.7,49.89423249,0.183169148,10.6,14.86282171,-0.391765882
45.7,32.05589851,2.049761734,31.9,42.72988691,-1.098536297,22.4,23.52090285,-0.103014276
27.1,24.34613736,0.413714474,58,51.17102292,0.692701526,14.9,20.78720344,-0.541051352
21.1,27.17764232,-0.913047933,63.8,51.37175042,1.260667206,15.1,18.80840203,-0.34081308
13.1,18.84627774,-0.863266828,9.9,28.73764079,-1.910807779,77,50.40871589,2.443817403
7.1,7.224043811,-0.018635178,13.9,12.29485819,0.162818555,79,78.91339688,0.007959082
9.1,6.880034375,0.333506797,13.9,13.21938813,0.069038287,77,81.62363802,-0.424925964
9.1,11.3516684,-0.338269525,12,21.31004896,-0.944370591,78.9,65.18440408,1.2605037
45,41.10793876,0.584706748,39.9,43.96389227,-0.412223433,15.1,15.17326552,-0.006733317
31,30.51783462,0.072436,21.9,30.98991662,-0.922041331,47.1,34.56349858,1.152141439
21.1,31.8456718,-1.614328864,63.8,49.30924438,1.469878785,15.1,16.33207918,-0.113231709
11,9.055964511,0.292053644,10,21.01172998,-1.116981661,79,70.43512629,0.787137144
25,24.46815898,0.079898802,45.9,45.5170336,0.038846434,29.1,30.19811325,-0.100919845
31.1,27.38918701,0.557477711,51.9,44.18665719,0.782407713,17,27.07165636,-0.925614911
